Item,Label,Condition,WCO?,Quantifier/Definite,Determiner,Animate/Inanimate,Comp,Pronoun,Subject,V1,V2,Sentence example in Spanish,Context in Spanish
1,pilot,YQA,yes,Quantifier,Every,animate,who,her,flight attendant,flew around the country,avoided,Cada auxiliar de vuelo que su piloto voló alrededor del país evitó la turbulencia.,"Los auxiliares de vuelo trabajan con ciertos pilotos. Algunos auxiliares de vuelo fueron llevados alrededor del país por su piloto, y otros no lo fueron."
1,pilot,YQI,yes,Quantifier,Every,inanimate,which,its,plane,flew around the country,avoided,Cada avión que su piloto voló alrededor del país evitó la turbulencia.,"Los aviones son operados por ciertos pilotos. Algunos aviones fueron volados alrededor del país por su piloto, y otros no lo fueron."
1,pilot,YDA,yes,Definite,The,animate,who,her,flight attendant,flew around the country,avoided,La auxiliar de vuelo a quien su piloto llevó alrededor del país evitó la turbulencia.,"Los asistentes de vuelo trabajan con ciertos pilotos. Una auxiliar de vuelo fue volada alrededor del país por su piloto, y otra no lo fue."
1,pilot,YDI,yes,Definite,The,inanimate,which,its,plane,flew around the country,avoided,El avión que su piloto voló alrededor del país evitó la turbulencia.,"Los aviones son operados por ciertos pilotos. Un avión fue volado alrededor del país por su piloto, y otro no lo fue."
1,pilot,NQA,no,Quantifier,Every,animate,who,her,flight attendant,flew around the country,avoided,Cada auxiliar de vuelo a quien el piloto llevó alrededor del país evitó la turbulencia.,"Hay un piloto en particular. Algunas auxiliares de vuelo fueron voladas alrededor del país por ese piloto, y otras no lo fueron."
1,pilot,NQI,no,Quantifier,Every,inanimate,which,its,plane,flew around the country,avoided,Cada avión que el piloto voló alrededor del país evitó la turbulencia.,"Hay un piloto en particular. Algunos aviones fueron volados alrededor del país por ese piloto, y otros no lo fueron."
1,pilot,NDA,no,Definite,The,animate,who,her,flight attendant,flew around the country,avoided,La auxiliar de vuelo a quien el piloto llevó alrededor del país evitó la turbulencia.,"Hay un piloto en particular. Una auxiliar de vuelo fue volada alrededor del país por ese piloto, y otra no."
1,pilot,NDI,no,Definite,The,inanimate,which,its,plane,flew around the country,avoided,El avión que el piloto voló alrededor del país evitó la turbulencia.,"Hay un piloto en particular. Un avión fue volado alrededor del país por ese piloto, y otro no."
2,pianist,YQA,yes,Quantifier,Every,animate,who,her,singer,heard during rehearsal,sounded,Cada cantante que su pianista escuchó durante el ensayo sonaba hermoso.,"Los cantantes interpretan con ciertos pianistas. Algunos cantantes fueron escuchados durante el ensayo por su pianista, y otros no."
2,pianist,YQI,yes,Quantifier,Every,inanimate,which,its,guitar,heard during rehearsal,sounded,Cada piano que su pianista escuchó durante el ensayo sonaba hermoso.,"Las guitarras se emparejan con ciertos pianistas. Algunas guitarras fueron escuchadas durante el ensayo por su pianista, y otras no."
2,pianist,YDA,yes,Definite,The,animate,who,her,singer,heard during rehearsal,sounded,La cantante a quien su pianista escuchó durante el ensayo sonaba hermosa.,"Los cantantes interpretan con ciertos pianistas. Una cantante fue escuchada durante el ensayo por su pianista, y otra no."
2,pianist,YDI,yes,Definite,The,inanimate,which,its,guitar,heard during rehearsal,sounded,El piano que su pianista escuchó durante el ensayo sonaba hermoso.,"Las guitarras se emparejan con ciertos pianistas. Una guitarra fue escuchada durante el ensayo por su pianista, y otra no."
2,pianist,NQA,no,Quantifier,Every,animate,who,her,singer,heard during rehearsal,sounded,Cada cantante que el pianista escuchó durante el ensayo sonaba hermoso.,"Hay un pianista en particular. Algunos cantantes fueron escuchados durante el ensayo por ese pianista, y otros no."
2,pianist,NQI,no,Quantifier,Every,inanimate,which,its,guitar,heard during rehearsal,sounded,Cada piano que el pianista escuchó durante el ensayo sonaba hermoso.,"Hay un pianista en particular. Algunas guitarras fueron escuchadas durante el ensayo por ese pianista, y otras no."
2,pianist,NDA,no,Definite,The,animate,who,her,singer,heard during rehearsal,sounded,La cantante que el pianista escuchó durante el ensayo sonaba hermosa.,"Hay un pianista en particular. Un cantante fue escuchado durante el ensayo por ese pianista, y otro no."
2,pianist,NDI,no,Definite,The,inanimate,which,its,guitar,heard during rehearsal,sounded,El piano que el pianista escuchó durante el ensayo sonaba hermoso.,"Hay un pianista en particular. Una guitarra fue escuchada durante el ensayo por ese pianista, y otra no."
3,queen,YQA,yes,Quantifier,Every,animate,who,her,princess,admired,was featured,Cada princesa que su reina admiraba fue incluida en el retrato real.,"Las princesas son las hijas de ciertas reinas. Algunas princesas eran admiradas por su reina, y otras no."
3,queen,YQI,yes,Quantifier,Every,inanimate,which,its,tiara,admired,was featured,Cada tiara que su reina admiraba fue incluida en el retrato real.,"Las tiaras son llevadas por ciertas reinas. Algunas tiaras eran admiradas por su reina, y otras no."
3,queen,YDA,yes,Definite,The,animate,who,her,princess,admired,was featured,La princesa a quien su reina admiraba fue incluida en el retrato real.,"Las princesas son las hijas de ciertas reinas. Una princesa fue admirada por su reina, y otra no."
3,queen,YDI,yes,Definite,The,inanimate,which,its,tiara,admired,was featured,La tiara que su reina admiraba fue incluida en el retrato real.,"Las tiaras son usadas por ciertas reinas. Una tiara fue admirada por su reina, y otra no."
3,queen,NQA,no,Quantifier,Every,animate,who,her,princess,admired,was featured,Cada princesa que la reina admiraba fue incluida en el retrato real.,"Hay una reina en particular. Algunas princesas fueron admiradas por esa reina, y otras no."
3,queen,NQI,no,Quantifier,Every,inanimate,which,its,tiara,admired,was featured,Cada diadema que la reina admiraba fue incluida en el retrato real.,"Hay una reina en particular. Algunas tiaras fueron admiradas por esa reina, y otras no."
3,queen,NDA,no,Definite,The,animate,who,her,princess,admired,was featured,La princesa a quien la reina admiraba fue incluida en el retrato real.,"Hay una reina en particular. Una princesa fue admirada por esa reina, y otra no."
3,queen,NDI,no,Definite,The,inanimate,which,its,tiara,admired,was featured,La tiara que la reina admiraba estaba en el retrato real.,"Hay una reina en particular. Una tiara fue admirada por esa reina, y otra no."
4,conductor,YQA,yes,Quantifier,Every,animate,who,her,floutist,saw on the stage,needed to be,Cada flautista que su director vio en el escenario necesitaba estar en el foso de la orquesta.,"Los flautistas son supervisados por ciertos directores de orquesta. Algunos flautistas fueron vistos en el escenario por su director, y otros no."
